date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:48	4028/4028	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257bd44ed-fbc%22	http://templates.scriptsbundle.com/knowledge/demo/js/bootstrap-dropdownhover.min.js	/home/anoop/websites/quessdd/templates.scriptsbundle.com/knowledge/demo/js/bootstrap-dropdownhover.min.js	(from http://templates.scriptsbundle.com/knowledge/demo/index.html)
13:04:48	16175/16175	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257bc0c88-3f2f%22	http://templates.scriptsbundle.com/knowledge/demo/scripts/shCore.js	/home/anoop/websites/quessdd/templates.scriptsbundle.com/knowledge/demo/scripts/shCore.js	(from http://templates.scriptsbundle.com/knowledge/demo/index.html)
13:04:49	5246/5246	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257bc0c7c-147e%22	http://templates.scriptsbundle.com/knowledge/demo/scripts/shBrushPhp.js	/home/anoop/websites/quessdd/templates.scriptsbundle.com/knowledge/demo/scripts/shBrushPhp.js	(from http://templates.scriptsbundle.com/knowledge/demo/index.html)
13:04:50	2586/2586	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257bd44f1-a1a%22	http://templates.scriptsbundle.com/knowledge/demo/js/custom.js	/home/anoop/websites/quessdd/templates.scriptsbundle.com/knowledge/demo/js/custom.js	(from http://templates.scriptsbundle.com/knowledge/demo/index.html)
13:04:52	51/51	---MCZ	200	added ('OK')	text/plain	date:Fri,%2022%20Feb%202019%2007:34:51%20GMT	http://fonts.googleapis.com/robots.txt		(from http://templates.scriptsbundle.com/knowledge/demo/index.html)
13:04:54	28841/28841	---M--	200	added ('OK')	image/jpeg	etag:%2257bd45e6-70a9%22	http://templates.scriptsbundle.com/knowledge/demo/images/blog/4.jpg	/home/anoop/websites/quessdd/templates.scriptsbundle.com/knowledge/demo/images/blog/4.jpg	(from http://templates.scriptsbundle.com/knowledge/demo/blog.html)
13:05:01	29260/29260	---M--	200	added ('OK')	image/jpeg	etag:%2257bd45e9-724c%22	http://templates.scriptsbundle.com/knowledge/demo/images/blog/6.jpg	/home/anoop/websites/quessdd/templates.scriptsbundle.com/knowledge/demo/images/blog/6.jpg	(from http://templates.scriptsbundle.com/knowledge/demo/blog.html)
13:05:01	46551/46551	---M--	200	added ('OK')	image/jpeg	etag:%2257bd45e7-b5d7%22	http://templates.scriptsbundle.com/knowledge/demo/images/blog/5.jpg	/home/anoop/websites/quessdd/templates.scriptsbundle.com/knowledge/demo/images/blog/5.jpg	(from http://templates.scriptsbundle.com/knowledge/demo/blog.html)
13:05:01	29260/29260	---M--	200	added ('OK')	image/jpeg	etag:%2257bd45ea-724c%22	http://templates.scriptsbundle.com/knowledge/demo/images/blog/7.jpg	/home/anoop/websites/quessdd/templates.scriptsbundle.com/knowledge/demo/images/blog/7.jpg	(from http://templates.scriptsbundle.com/knowledge/demo/blog.html)
13:05:05	51458/51458	---M--	200	added ('OK')	image/jpeg	etag:%2257bd45f3-c902%22	http://templates.scriptsbundle.com/knowledge/demo/images/blog/9.jpg	/home/anoop/websites/quessdd/templates.scriptsbundle.com/knowledge/demo/images/blog/9.jpg	(from http://templates.scriptsbundle.com/knowledge/demo/blog.html)
